scenario_id,quarter,market,currency,tariff_rate,tariff_rate_preferential,preferential_threshold_lot,fx_spot_jpy,material_price_usd,interest_rate_annual,note
s1_base,2027Q1,Retail_Local_KANTO,JPY,0.000,,,1.00,6.00,0.030,uom=KL 基準ケース（Phase 8-1・A9-6実測に整合）
s1_base,2027Q1,Retail_Local_KANSAI,JPY,0.000,,,1.00,6.00,0.030,
s1_base,2027Q1,Retail_Local_CHUBU,JPY,0.000,,,1.00,6.00,0.030,
s1_base,2027Q1,Retail_Import_KANTO_I,JPY,0.030,,,1.00,6.00,0.030,
s1_base,2027Q1,Retail_Import_KANSAI_I,JPY,0.030,,,1.00,6.00,0.030,
s1_base,2027Q1,Retail_EU_DE,EUR,0.000,,,162.00,6.00,0.030,
s1_base,2027Q1,Retail_EU_FR,EUR,0.000,,,162.00,6.00,0.030,
s1_base,2027Q1,Retail_EU_NL,EUR,0.000,,,162.00,6.00,0.030,
s1_base,2027Q1,Retail_EU_Import_DE_I,EUR,0.020,,,162.00,6.00,0.030,
s1_base,2027Q1,Retail_EU_Import_FR_I,EUR,0.020,,,162.00,6.00,0.030,
s1_base,2027Q1,Retail_US_TX,USD,0.000,,,150.00,6.00,0.030,
s1_base,2027Q1,Retail_US_CA,USD,0.000,,,150.00,6.00,0.030,
s1_base,2027Q1,Retail_US_NY,USD,0.000,,,150.00,6.00,0.030,
s1_base,2027Q1,Retail_US_Import_MW_I,USD,0.000,,,150.00,6.00,0.030,
s1_base,2027Q1,Retail_US_Import_NE_I,USD,0.000,,,150.00,6.00,0.030,
